league,season,player_id,player_name,team_title,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
serie_a,2015-2016,1513,Mauro Icardi,Inter,F S,33,2608,16,4,13.370864221826196,5.164421901106834,57,32,1,0,15,11.848346980288625,16.034405590966344,2.293468937277794
serie_a,2015-2016,1104,Leonardo Pavoletti,Genoa,F S,25,1916,14,3,10.40239254385233,2.015460602939129,67,23,3,1,14,10.40239254385233,14.476563148200512,3.779202876612544
serie_a,2015-2016,1250,Mohamed Salah,Roma,F M S,34,2753,14,6,9.377116854302583,7.068870378658176,72,63,1,1,14,9.377116854302583,23.043303050100803,10.797392231412232
serie_a,2015-2016,1315,Massimo Maccarone,Empoli,F S,37,2779,13,5,9.98206184618175,3.928731011226773,81,38,4,0,12,9.220763025805354,13.472644191235304,3.2140862504020333
serie_a,2015-2016,1426,Josip Ilicic,Fiorentina,M S,30,1933,13,5,9.362493777647614,5.2083480656147,74,47,2,0,6,4.03340202383697,9.846160901710393,4.349181979894638
serie_a,2015-2016,1514,Éder,"Inter,Sampdoria",F M S,33,2398,13,2,9.863557253032925,1.939744973555208,74,20,3,0,10,7.579660791903734,10.318679083138704,2.056776158511638
serie_a,2015-2016,1186,Andrea Belotti,Torino,F S,35,2606,12,4,13.856186871416869,4.179406842216849,70,29,4,0,8,10.81099150236696,14.74768748972565,2.876480878330767
serie_a,2015-2016,1393,Lorenzo Insigne,Napoli,F M S,37,2639,12,10,9.908442457206547,9.11415692884475,134,65,2,0,10,8.385844831354916,23.265476390719414,8.545032993424684
serie_a,2015-2016,1425,Nikola Kalinic,Fiorentina,F M S,36,2559,12,3,17.177180893719196,1.4238727390766144,72,18,5,0,12,16.415882118046284,18.0999565301463,1.998677403666079
serie_a,2015-2016,1147,Cyril Théréau,Udinese,F M S,36,2912,11,3,12.46032466646284,4.878205426037312,77,49,2,1,11,12.46032466646284,15.727519678883256,5.05800564866513
serie_a,2015-2016,1290,Miralem Pjanic,Roma,M S,33,2656,10,12,7.167181259021163,9.318703572265804,68,80,10,1,9,6.405882423743606,18.25228280760348,9.655850673094392
serie_a,2015-2016,1295,Mario Mandzukic,Juventus,F S,27,2063,10,4,8.593954620882869,3.5477424077689648,37,28,5,0,10,8.593954620882869,11.734705850481989,3.5581405498087406
serie_a,2015-2016,1517,Antonio Candreva,Lazio,F M S,30,2219,10,3,11.795622661709784,3.8530362267047167,90,38,4,0,4,5.705232098698616,9.829541507642716,2.9806008962914348
serie_a,2015-2016,1552,Alberto Gilardino,Palermo,F S,33,2362,10,2,8.964193094521761,1.8191700791940093,49,20,4,0,10,8.964193094521761,11.427051566541197,2.553970536217093
serie_a,2015-2016,1867,Federico Dionisi,Frosinone,F S,32,2455,9,4,6.684954191558063,3.2036824859678745,83,29,12,0,8,5.923655356280506,9.287637335248291,2.2926251962780952
serie_a,2015-2016,1868,Daniel Ciofani,Frosinone,F S,37,2919,9,1,8.207670098170638,2.151538180187345,76,40,1,0,7,6.685072449967265,9.04116699192673,1.972202802076936
serie_a,2015-2016,716,Alberto Paloschi,Chievo,F S,21,1676,8,2,9.575280357152224,0.7499110884964466,41,13,1,0,7,7.291423849761486,8.144812365993857,0.754569829441607
serie_a,2015-2016,1148,Duván Zapata,Udinese,F S,25,1514,8,2,8.233941536396742,1.2720303321257234,53,12,5,0,8,8.233941536396742,7.930719909258187,0.8395993383601308
serie_a,2015-2016,1230,Fabio Quagliarella,"Sampdoria,Torino",F S,32,2577,8,0,10.22780661098659,2.043142369017005,98,19,1,0,7,9.466507779434323,10.876944847404957,1.8082844754680991
serie_a,2015-2016,1252,Stephan El Shaarawy,Roma,F M S,16,1214,8,2,6.186177458614111,1.128810577094555,46,12,0,0,8,6.186177458614111,9.401625249534844,3.0354225654155016
serie_a,2015-2016,1253,Edin Dzeko,Roma,F S,31,1947,8,6,13.503998164087534,2.0184737564995885,83,22,4,1,6,11.981400463730097,15.398144759237766,2.7227448765188456
serie_a,2015-2016,1405,Marco Borriello,"Atalanta,Carpi",F S,27,1595,8,4,6.974054582417011,3.007811688818037,55,21,4,1,7,6.212755769491196,8.016172803938389,0.965125683695078
serie_a,2015-2016,1580,Mattia Destro,Bologna,F S,27,2141,8,3,9.737307459115982,1.1542785968631506,64,12,9,0,6,7.453410999849439,7.261813940480351,1.5351305697113276
serie_a,2015-2016,1740,Paul Pogba,Juventus,M S,35,3017,8,12,8.843439035117626,7.100575303658843,124,54,10,0,7,7.320841358974576,19.75322058051825,11.58214551396668
serie_a,2015-2016,1810,Roberto Soriano,Sampdoria,F M S,37,2841,8,4,4.118627636693418,4.878603084012866,53,28,7,0,8,4.118627636693418,12.652619333472105,5.049078619573265
serie_a,2015-2016,1836,Franco Vázquez,Palermo,F M,36,3192,8,7,8.27277067489922,5.259979477152228,105,54,11,0,7,7.511471847072244,17.534473836421967,8.285840634256601
serie_a,2015-2016,448,Ivan Perisic,Inter,D F M S,34,2410,7,6,7.4913704842329025,3.793055430985987,68,32,5,0,7,7.4913704842329025,13.617307710461318,5.184200944378972
serie_a,2015-2016,1033,Emanuele Giaccherini,Bologna,F M S,28,2190,7,0,3.8908776016905904,4.3253224259242415,45,41,7,0,7,3.8908776016905904,7.616134911775589,2.4170548487454653
serie_a,2015-2016,1208,Felipe Anderson,Lazio,F M S,35,2052,7,4,5.607604706659913,3.604053622111678,50,27,2,0,7,5.607604706659913,11.214232512749732,4.145380351692438
serie_a,2015-2016,1254,Alessandro Florenzi,Roma,D F M S,33,2735,7,3,4.410438590683043,5.329167686402798,47,41,4,0,7,4.410438590683043,15.841197784990072,9.475518729537724
serie_a,2015-2016,1382,José Callejón,Napoli,F S,38,2848,7,7,8.491399243474007,4.197124408558011,60,47,4,0,7,8.491399243474007,18.517143171280622,7.193711012601852
serie_a,2015-2016,1468,Gregoire Defrel,Sassuolo,F S,33,2049,7,3,5.944834960624576,1.5409086784347892,51,26,2,1,7,5.944834960624576,9.437486061826348,2.5832452438771725
serie_a,2015-2016,1491,Alejandro Gomez,Atalanta,F M S,34,2838,7,7,7.295851370319724,7.210336819291115,85,61,4,1,7,7.295851370319724,17.657196725718677,5.9202155359089375
serie_a,2015-2016,1612,Domenico Berardi,Sassuolo,F S,29,2189,7,6,9.275612529367208,4.336648542433977,88,37,10,1,4,5.469118360430002,12.506836434826257,5.733861355111003
serie_a,2015-2016,1804,Álvaro Morata,Juventus,F S,34,1451,7,7,8.102466635406017,4.134381514042616,48,28,6,0,6,7.34116780012846,11.939323251135647,4.121203674934804
serie_a,2015-2016,1826,Nicola Sansone,Sassuolo,F S,37,2545,7,4,6.789876135066152,4.255659041926265,64,42,8,0,7,6.028577299788594,13.046468921005726,6.9938091188669205
serie_a,2015-2016,1878,Miroslav Klose,Lazio,F S,24,1359,7,7,7.064247259870172,4.077461061067879,30,18,3,0,6,6.303028864786029,10.421096183359625,2.039053911343217
serie_a,2015-2016,1121,Giacomo Bonaventura,AC Milan,F M S,33,2845,6,8,7.7275937385857105,7.649020371958613,104,69,8,0,6,7.7275937385857105,15.411556620150805,6.036128470674157
serie_a,2015-2016,1129,Suso,"AC Milan,Genoa",F M S,20,1235,6,1,2.424824839457869,2.992253355681896,38,32,4,0,6,2.424824839457869,5.942820347845554,3.31929568387568
