id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season,league
329,Franck Ribéry,29,2195,2,2.8616742491722107,6,5.521392501890659,21,35,6,1,F M S,Fiorentina,2,2.8616742491722107,12.207906886935234,5.992202263325453,2020-2021,serie_a
411,Albin Ekdal,32,2301,2,0.8595552882179618,1,0.9703601310029626,14,11,9,0,M S,Sampdoria,2,0.8595552882179618,4.922459287568927,3.854888558387756,2020-2021,serie_a
504,Aaron Ramsey,22,1105,2,4.651268949732184,4,3.7844063509255648,24,31,2,0,M S,Juventus,2,4.651268949732184,12.456481385044754,4.783558956347406,2020-2021,serie_a
1089,Juan Cuadrado,30,2185,2,2.450692845508456,10,9.995606675744057,19,60,9,1,D M S,Juventus,1,1.6893940083682537,17.964835150167346,13.353020135313272,2020-2021,serie_a
1096,Armando Izzo,25,2025,2,0.8309772666543722,0,0.1721509955823421,14,3,3,0,D S,Torino,2,0.8309772666543722,4.837525825947523,4.579219106584787,2020-2021,serie_a
1098,Miguel Veloso,21,1312,2,1.782979005947709,2,0.6269579427316785,12,11,1,0,M S,Verona,0,0.2603813745081424,5.07194546982646,4.508933229371905,2020-2021,serie_a
1193,Lorenzo De Silvestri,29,2160,2,2.058621007949114,0,0.7418602285906672,11,13,4,0,D S,Bologna,2,2.058621007949114,6.3160657081753016,5.46388547308743,2020-2021,serie_a
1272,Ilija Nestorovski,22,666,2,5.14358844794333,2,1.8310505552217364,25,14,1,0,F S,Udinese,2,5.14358844794333,6.923710269853473,0.840439023450017,2020-2021,serie_a
1287,Leonardo Bonucci,26,2037,2,3.64591883122921,0,0.8696581423282623,16,3,3,0,D S,Juventus,2,3.64591883122921,8.378460876643658,8.037180066108704,2020-2021,serie_a
1289,Alex Sandro,26,1857,2,1.7777630481868982,1,2.1029492877423763,13,18,2,0,D S,Juventus,2,1.7777630481868982,13.927047258242965,11.550253914669156,2020-2021,serie_a
1313,Riccardo Saponara,11,444,2,1.184926576912403,0,0.7230105996131897,10,5,0,1,F M S,"Fiorentina,Spezia",2,1.184926576912403,2.570357158780098,0.842733733355999,2020-2021,serie_a
1395,Vlad Chiriches,24,1859,2,0.9795921221375464,1,0.4406387424096465,12,8,6,0,D S,Sassuolo,2,0.9795921221375464,7.56403131224215,7.193957118317485,2020-2021,serie_a
1425,Nikola Kalinic,19,1077,2,4.222124427556992,0,0.4376770835369825,24,9,2,0,F S,Verona,2,4.222124427556992,6.133594676852226,1.945760503411293,2020-2021,serie_a
1484,Rafael Toloi,31,2542,2,3.292238790541888,0,0.8902786783874035,29,15,10,0,D S,Atalanta,2,3.292238790541888,12.477382320910692,10.51220765337348,2020-2021,serie_a
1488,Remo Freuler,34,2726,2,2.010777423158288,3,3.953511436469853,20,30,5,0,M S,Atalanta,2,2.010777423158288,16.8362388163805,13.41757134348154,2020-2021,serie_a
1500,Leonardo Spinazzola,27,2137,2,2.179633273743093,4,6.562453709542751,22,37,0,0,D S,Roma,2,2.179633273743093,14.653724893927574,6.960796166211367,2020-2021,serie_a
1511,Marcelo Brozovic,33,2592,2,1.0476511027663946,6,4.675889806821942,25,44,7,1,M S,Inter,2,1.0476511027663946,17.032286735251546,14.76291429810226,2020-2021,serie_a
1574,Davide Calabria,32,2652,2,1.945541861467064,1,1.7728252755478024,24,21,7,0,D M S,AC Milan,2,1.945541861467064,8.915328809991479,5.882050005719066,2020-2021,serie_a
1604,Artur Ionita,36,2861,2,1.482278300449252,0,0.8480779156088829,23,14,6,0,F M S,Benevento,2,1.482278300449252,4.376635106280446,3.21599827054888,2020-2021,serie_a
1617,Roberto Insigne,30,1598,2,3.68778324034065,4,3.850396898575127,39,40,2,0,F M S,Benevento,2,3.68778324034065,9.60348304733634,3.027284560725093,2020-2021,serie_a
1800,Kamil Glik,36,3208,2,3.2730786772444844,1,0.3577797338366508,28,4,7,1,D,Benevento,2,3.2730786772444844,4.954513457603753,4.544664883986116,2020-2021,serie_a
1826,Nicola Sansone,26,1163,2,4.247089342214167,2,2.597226374782622,31,31,2,0,M S,Bologna,2,4.247089342214167,7.9982817731797695,2.360999930649996,2020-2021,serie_a
